row_id,winner_correct,verification_same_candidates,verification_same_count,verification_candidate_count,pipeline_dir
1425,True,3/3,3,3,results/experiments/1_10/1425/2026-04-29_05-20-44
1426,True,3/3,3,3,results/experiments/1_10/1426/2026-04-29_05-24-36
1427,True,3/3,3,3,results/experiments/1_10/1427/2026-04-29_05-27-45
1428,True,3/3,3,3,results/experiments/1_10/1428/2026-04-29_05-31-00
1429,True,3/3,3,3,results/experiments/1_10/1429/2026-04-29_05-34-37
1430,False,,0,0,results/experiments/1_10/1430/2026-04-29_05-38-24
1431,True,3/3,3,3,results/experiments/1_10/1431/2026-04-29_05-40-10
1432,False,,0,0,results/experiments/1_10/1432/2026-04-29_05-43-18
1433,True,3/3,3,3,results/experiments/1_10/1433/2026-04-29_05-45-03
1434,False,,0,0,results/experiments/1_10/1434/2026-04-29_05-48-00
